Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Like
2024-08-09,Game Night,2018,https://boxd.it/73wfjp,4.5,,,2024-08-08,False
2024-08-09,The Lego Batman Movie,2017,https://boxd.it/73FzZN,4.0,,,2024-08-08,True
2024-08-10,Late Night with the Devil,2023,https://boxd.it/73SYuh,4.5,,,2024-08-09,True
2024-08-10,Civil War,2024,https://boxd.it/73VZrz,3.5,,,2024-08-09,True
2024-08-10,The Fall Guy,2024,https://boxd.it/744ILl,3.0,,,2024-08-09,False
2024-08-11,The Beekeeper,2024,https://boxd.it/74xSE3,2.5,,,2024-08-10,True
2024-08-12,Monkey Man,2024,https://boxd.it/752B8h,4.0,,,2024-08-11,True
2024-08-13,Green Book,2018,https://boxd.it/75vH73,4.5,,,2024-08-12,False
2024-08-14,Borat Subsequent Moviefilm,2020,https://boxd.it/75MHlt,4.0,,,2024-08-13,True
2024-08-14,The Ministry of Ungentlemanly Warfare,2024,https://boxd.it/75WR5F,2.0,,,2024-08-13,True
2024-08-15,1917,2019,https://boxd.it/76dmcJ,4.0,,,2024-08-14,False
2024-08-15,Pig,2021,https://boxd.it/76fnt1,3.5,,,2024-08-14,True
2024-08-17,Ferrari,2023,https://boxd.it/77eGs9,2.5,,,2024-08-16,False
2024-08-18,Matilda,1996,https://boxd.it/77HXkJ,3.5,,,2024-08-17,True
2024-08-19,Roald Dahl's Matilda the Musical,2022,https://boxd.it/783pPR,3.5,,,2024-08-18,False
2024-08-19,Wanted,2008,https://boxd.it/78fEbr,2.5,,,2024-08-18,True
2024-08-20,Inside Out 2,2024,https://boxd.it/78LxPt,4.0,,,2024-08-19,False
2024-08-21,[REC]⁴ Apocalypse,2014,https://boxd.it/793R4j,2.0,,,2024-08-20,True
2024-08-21,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/79cY5L,4.5,Yes,,2024-08-20,True
2024-08-23,Beethoven,1992,https://boxd.it/79TaU1,2.5,,,2024-08-22,True
2024-08-23,Soul,2020,https://boxd.it/79Z6Zt,4.0,,,2024-08-22,True
2024-08-23,57 Seconds,2023,https://boxd.it/7afJkL,2.5,,,2024-08-23,True
2024-08-24,The Accountant,2016,https://boxd.it/7ak4dz,3.5,,,2024-08-23,False
2024-08-24,The Proposal,2009,https://boxd.it/7ap6Zv,3.0,,,2024-08-23,True
2024-08-26,Fruitvale Station,2013,https://boxd.it/7bjoj5,3.5,,,2024-08-25,True
2024-08-27,Chef,2014,https://boxd.it/7c3LXT,4.0,,,2024-08-25,False
2024-08-27,Disturbia,2007,https://boxd.it/7c3LcN,3.5,,,2024-08-26,True
2024-08-27,The Fly,1986,https://boxd.it/7cgpTL,3.5,,,2024-08-27,False
2024-08-28,Juno,2007,https://boxd.it/7cjJS5,4.0,,,2024-08-27,True
2024-08-28,Gravity,2013,https://boxd.it/7cqRd9,2.5,,,2024-08-27,False
2024-08-28,Climax,2018,https://boxd.it/7cusrX,3.5,,,2024-08-27,False
