Date,Name,Year,Letterboxd URI,Rating
2024-06-10,Real Steel,2011,https://boxd.it/147m,3
2024-06-11,Mystic River,2003,https://boxd.it/2aAG,3.5
2024-06-13,The Beasts,2022,https://boxd.it/w1L6,4
2024-06-25,"As Above, So Below",2014,https://boxd.it/7yui,4
2024-06-26,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3.5
2024-06-27,Fractured,2019,https://boxd.it/kPL2,3
2024-06-28,"Extremely Wicked, Shockingly Evil and Vile",2019,https://boxd.it/glCG,2.5
2024-06-29,Chronicle,2012,https://boxd.it/2Emk,3.5
2024-06-29,Inside Out,2015,https://boxd.it/4KHC,4
2024-06-29,Red Eye,2005,https://boxd.it/1TNy,2.5
2024-06-30,The Talented Mr. Ripley,1999,https://boxd.it/2924,3.5
2024-06-30,The Intouchables,2011,https://boxd.it/2FT0,3.5
2024-07-02,Edge of Tomorrow,2014,https://boxd.it/4pD0,4
2024-07-04,The Devil Wears Prada,2006,https://boxd.it/2awE,4
2024-07-05,Zoolander,2001,https://boxd.it/1YMA,4.5
2024-07-05,American Assassin,2017,https://boxd.it/eFLE,2.5
2024-07-08,2001: A Space Odyssey,1968,https://boxd.it/2bf0,3
2024-07-09,City of God,2002,https://boxd.it/2a2a,5
2024-07-10,American Gangster,2007,https://boxd.it/23wi,4
2024-07-11,Taken,2008,https://boxd.it/1ZXa,3
2024-07-11,Dune: Part Two,2024,https://boxd.it/pUfA,5
2024-07-13,Donnie Brasco,1997,https://boxd.it/1YRA,3.5
2024-07-21,Gran Torino,2008,https://boxd.it/1Qzy,4
2024-07-22,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2024-07-23,Dream Scenario,2023,https://boxd.it/v2h0,3.5
2024-07-23,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,2
2024-07-24,Men in Black,1997,https://boxd.it/2a0I,4
2024-07-24,Zoolander 2,2016,https://boxd.it/aNBE,0.5
2024-07-24,Men in Black II,2002,https://boxd.it/2a0y,3
2024-07-25,Alita: Battle Angel,2019,https://boxd.it/e0rS,2.5
2024-07-25,The World is Ours,2012,https://boxd.it/3R3i,4.5
2024-07-25,The Day of the Beast,1995,https://boxd.it/1Vyg,3.5
2024-08-01,Unthinkable,2010,https://boxd.it/16y0,2.5
2024-08-02,Sleep Tight,2011,https://boxd.it/2GjC,3
2024-08-04,Thesis,1996,https://boxd.it/1Z1U,3.5
2024-08-04,Under Paris,2024,https://boxd.it/BQFe,2
2024-08-05,The Flash,2023,https://boxd.it/9twC,2
2024-08-06,The Vault,2021,https://boxd.it/nleI,2
